University of Florida,https://twitter.com/ucf_confessions/,https://mobile.twitter.com/GatoRaas/,https://twitter.com/ufindlayconfess/,https://twitter.com/gatorconfession/,https://twitter.com/c0llegeconfess1/
University of California Irvine,https://twitter.com/confessionsuci/,https://twitter.com/csun_confession/,https://twitter.com/marklieber/,https://twitter.com/ihsvaqueros/,https://twitter.com/cekubrin/
Boston College,https://twitter.com/collegefessing/,https://twitter.com/bostonscloset/,https://twitter.com/hashtag/,https://twitter.com/confessbu/,https://twitter.com/confessionsumb/
University of California San Diego,
University of California Davis,https://twitter.com/dredwardjkim/,https://twitter.com/rekaireb/,https://twitter.com/doc_jd_/,https://twitter.com/KevinMKruse/,https://twitter.com/cbumemes/
Boston University,https://twitter.com/neu_confessions/,https://twitter.com/confessionsumb/,https://twitter.com/confessbu/
Brandeis University,https://twitter.com/kylejacobs_/,https://twitter.com/neu_confessions/,https://twitter.com/hashtag/,https://twitter.com/confessbu/,https://twitter.com/confessionsumb/
Case Western Reserve University,https://twitter.com/cwru_confession/,https://twitter.com/casekismat/,https://twitter.com/hashtag/,https://twitter.com/transliterature/
College of William and Mary,https://twitter.com/sharonvarghese6/,https://twitter.com/e_p_wells/,https://twitter.com/nphs_fessions/,https://twitter.com/gtowncollege/,https://twitter.com/hashtag/
Norteastern University,https://twitter.com/neu_confessions/
Tulane University,https://twitter.com/collegefessing/,https://twitter.com/rickcrozier/,https://twitter.com/collegefuck_/,https://twitter.com/tulconfessions/,https://twitter.com/andrewfromusa/
University of Wisconsin Madison,https://twitter.com/realuwconfess/,https://twitter.com/tehshikyoon/,https://twitter.com/bbuwconfessions/,https://twitter.com/uwmadisonmedia/,https://twitter.com/madclassof2018/
Villanova University,https://twitter.com/novaconfessions/,https://twitter.com/falveylibrary?lang=es/,https://twitter.com/notfrpeter/,https://twitter.com/villanovau/,https://twitter.com/MattGrasso5/
University of Illinois Urbana Champaign,https://twitter.com/BrentWRoberts/,https://twitter.com/con_fact_ions/,https://twitter.com/confessolemiss/,https://twitter.com/confessuiuc/,https://twitter.com/isuconfess/
University of Texas Austin,https://twitter.com/utconfess/,https://twitter.com/utaustinconfess/,https://twitter.com/ut_whisper/,https://twitter.com/longhornconfess/,https://twitter.com/ut_confess/
Lehigh University,https://twitter.com/lu_confess/,https://twitter.com/lehighconfess/
Pepperdine University,https://twitter.com/dgbrunetti/,https://twitter.com/larsonious/,https://twitter.com/csun_confession/,https://twitter.com/CoIlegecfession/
